0, 00000000:01:00.0, NVIDIA GeForce RTX 3060, 12288 MiB, 3412 MiB, 31 %
1, 00000000:05:00.0, NVIDIA GeForce RTX 4090, 24564 MiB, 1884 MiB, 5 %
